user: Descending,Count
ATHENA,94842
INTERFACE,15776
sanzalone,2286
smorehouse,2091
kwu6,1481
mgebel1,1092
struitt3,964
kdavidson22,634
agoncalves4,601
lkauffman4,601
mpalacios8,582
iselaru1,541
mrichmond8,513
jfavero,496
ebramham,491
ablosser1,486
tmungo1,486
hmoreno6,479
kburrier,468
jbiggs5,453
lbeckham4,431
khamilton19,427
rgraham20,421
rstowers1,421
llang8,420
dvan4,397
jstevens37,391
dmerritt18,384
abelles1,383
ashaine,383
ldaniels30,382
tbillitteri,382
jschnepf,370
mervin2,367
tcambell,365
lcohenno,356
cirons2,337
borgen,333
kmilani2,329
yfoley,327
llopez114,326
tjames38,318
cmcgonnell1,308
swin2,305
jmcdermott3,304
rgayle4,284
bmontgomerywinst,283
gmathews3,283
gsedrakyan1,280
emoran9,276
vplummer2,276
hhartzell,264
kdeloach1,261
wshough,261
unguyen2,259
ule,256
ageer2,252
vparks4,236
twirth1,234
jbrewer27,231
gencubahre,229
tmendez3,228
wdoku,224
thickey2,219
sguill,214
smarshak,211
aataiefar1,208
jkozicki,208
msawyer17,206
phittel,206
jnelson146,205
aphillips86,204
showell28,204
bfluitt,202
kdevine6,202
jbernstein3,201
mmoeller1,201
gsmith103,199
amukhtarian,197
dcampbell90,189
esimmons5,187
efriedler,184
mjosephs1,179
kross32,178
mtamariz,178
callen81,177
dbitman,176
evaradi,176
czanetti,173
ptyler9,173
cainsworth,171
ksavin1,167
tfrekko,167
amabie2,165
flascala,165
kgrass1,160
eetuk,159
ksaccone2,159
hwong4,157
awilson264,156